TP.0283-TSP:Ausführung:24,0:MON:02.01.2007:30.12.2008
TP.0284-TSP:Planung/Grunderwerb:0,0:MON:02.01.2007:02.01.2007
TP.0284-TSP:Genehmigung:0,0:MON:02.01.2007:02.01.2007
TP.0284-TSP:Ausführung:36,0:MON:02.01.2007:30.12.2009
TP.0285-TSP:Planung/Grunderwerb:0,0:MON:29.12.2005:29.12.2005
TP.0285-TSP:Genehmigung:0,0:MON:29.12.2005:29.12.2005
TP.0285-TSP:Ausführung:12,0:MON:29.12.2005:28.12.2006
TP.0286-TSP:Planung/Grunderwerb:0,0:MON:29.12.2005:29.12.2005
TP.0286-TSP:Genehmigung:0,0:MON:29.12.2005:29.12.2005
TP.0286-TSP:Ausführung:12,0:MON:29.12.2005:28.12.2006
TP.0287-TSP:Planung/Grunderwerb:0,0:MON:29.12.2005:29.12.2005
TP.0287-TSP:Genehmigung:0,0:MON:29.12.2005:29.12.2005
TP.0287-TSP:Ausführung:12,0:MON:29.12.2005:28.12.2006
TP.0288-TSP:Planung/Grunderwerb:0,0:MON:29.12.2005:29.12.2005
TP.0288-TSP:Genehmigung:0,0:MON:29.12.2005:29.12.2005
TP.0288-TSP:Ausführung:12,0:MON:29.12.2005:28.12.2006
TP.0289-TSP:Planung/Grunderwerb:0,0:MON:02.01.2007:02.01.2007
TP.0289-TSP:Genehmigung:0,0:MON:02.01.2007:02.01.2007
TP.0289-TSP:Ausführung:36,0:MON:02.01.2007:30.12.2009
TP.0290-TSP:Planung/Grunderwerb:12,0:MON:02.01.2009:30.12.2009
TP.0290-TSP:Genehmigung:0,0:MON:30.12.2009:30.12.2009
TP.0290-TSP:Ausführung:12,0:MON:04.01.2010:30.12.2010
TP.0291-TSP:Planung/Grunderwerb:0,0:MON:02.01.2007:02.01.2007
TP.0291-TSP:Genehmigung:0,0:MON:02.01.2007:02.01.2007
TP.0291-TSP:Ausführung:12,0:MON:02.01.2007:28.12.2007
TP.0293-TSP:Planung/Grunderwerb:6,0:MON:02.01.2006:30.06.2006
TP.0293-TSP:Genehmigung:0,0:MON:30.06.2006:30.06.2006
TP.0293-TSP:Ausführung:18,0:MON:03.07.2006:28.12.2007
TP.0294-TSP:Planung/Grunderwerb:12,0:MON:30.12.2005:29.12.2006
TP.0294-TSP:Genehmigung:0,0:MON:29.12.2006:29.12.2006
TP.0294-TSP:Ausführung:0,0:MON:29.12.2006:29.12.2006
TP.0295-TSP:Planung/Grunderwerb:12,0:MON:30.12.2005:29.12.2006
TP.0295-TSP:Genehmigung:0,0:MON:29.12.2006:29.12.2006
TP.0295-TSP:Ausführung:0,0:MON:29.12.2006:29.12.2006
TP.0296-TSP:Planung/Grunderwerb:0,0:MON:02.01.2006:02.01.2006
TP.0296-TSP:Genehmigung:0,0:MON:02.01.2006:02.01.2006
TP.0296-TSP:Ausführung:12,0:MON:02.01.2006:29.12.2006
TP.0297-TSP:Planung/Grunderwerb:6,0:MON:02.01.2006:30.06.2006
